"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2006","08","08000","Colorado","4,653,234","539,332","526,383","552,282","526,383 to 552,282","11.6","11.3","11.9","11.3 to 11.9","1,151,437","170,379","162,754","178,003","162,754 to 178,003","14.8","14.1","15.5","14.1 to 15.5","811,015","108,406","101,958","114,854","101,958 to 114,854","13.4","12.6","14.2","12.6 to 14.2","334,577","56,770","52,626","60,914","52,626 to 60,914","17.0","15.7","18.2","15.7 to 18.2","$52,265","$51,785","$52,746","$51,785 to $52,746"
"2015","09","09000","Connecticut","3,480,915","367,867","356,084","379,650","356,084 to 379,650","10.6","10.3","10.9","10.3 to 10.9","753,352","110,143","104,368","115,918","104,368 to 115,918","14.6","13.8","15.4","13.8 to 15.4","566,107","76,886","71,884","81,888","71,884 to 81,888","13.6","12.7","14.5","12.7 to 14.5","183,795","30,085","27,471","32,699","27,471 to 32,699","16.4","15.0","17.8","15.0 to 17.8","$71,333","$70,573","$72,093","$70,573 to $72,093"
"2014","09","09000","Connecticut","3,485,626","375,281","364,395","386,167","364,395 to 386,167","10.8","10.5","11.1","10.5 to 11.1","764,912","113,733","107,953","119,513","107,953 to 119,513","14.9","14.1","15.7","14.1 to 15.7","575,343","78,909","73,844","83,974","73,844 to 83,974","13.7","12.8","14.6","12.8 to 14.6","185,376","31,176","28,561","33,791","28,561 to 33,791","16.8","15.4","18.2","15.4 to 18.2","$70,007","$69,219","$70,795","$69,219 to $70,795"
"2013","09","09000","Connecticut","3,485,349","373,387","362,267","384,507","362,267 to 384,507","10.7","10.4","11.0","10.4 to 11.0","775,350","112,225","106,445","118,005","106,445 to 118,005","14.5","13.8","15.2","13.8 to 15.2","584,781","77,895","72,926","82,864","72,926 to 82,864","13.3","12.5","14.1","12.5 to 14.1","188,032","31,898","28,844","34,952","28,844 to 34,952","17.0","15.4","18.6","15.4 to 18.6","$67,262","$66,279","$68,245","$66,279 to $68,245"
"2012","09","09000","Connecticut","3,484,176","370,537","359,310","381,764","359,310 to 381,764","10.6","10.3","10.9","10.3 to 10.9","785,922","114,613","108,840","120,386","108,840 to 120,386","14.6","13.9","15.3","13.9 to 15.3","592,944","79,315","74,293","84,337","74,293 to 84,337","13.4","12.6","14.2","12.6 to 14.2","190,208","32,501","29,809","35,193","29,809 to 35,193","17.1","15.7","18.5","15.7 to 18.5","$67,275","$66,463","$68,087","$66,463 to $68,087"
"2011","09","09000","Connecticut","3,471,805","373,284","361,432","385,136","361,432 to 385,136","10.8","10.5","11.1","10.5 to 11.1","794,345","115,699","109,366","122,032","109,366 to 122,032","14.6","13.8","15.4","13.8 to 15.4","597,790","79,802","74,061","85,543","74,061 to 85,543","13.3","12.3","14.3","12.3 to 14.3","194,513","33,766","30,910","36,622","30,910 to 36,622","17.4","15.9","18.9","15.9 to 18.9","$65,822","$65,021","$66,623","$65,021 to $66,623"
"2010","09","09000","Connecticut","3,466,981","348,881","338,009","359,753","338,009 to 359,753","10.1","9.8","10.4","9.8 to 10.4","805,830","103,003","96,964","109,042","96,964 to 109,042","12.8","12.1","13.5","12.1 to 13.5","605,949","68,661","63,160","74,162","63,160 to 74,162","11.3","10.4","12.2","10.4 to 12.2","198,127","32,374","29,778","34,970","29,778 to 34,970","16.3","15.0","17.6","15.0 to 17.6","$64,321","$63,372","$65,270","$63,372 to $65,270"
"2009","09","09000","Connecticut","3,409,906","318,008","306,540","329,477","306,540 to 329,477","9.3","9.0","9.7","9.0 to 9.7","798,969","95,570","89,742","101,397","89,742 to 101,397","12.0","11.2","12.7","11.2 to 12.7","589,195","62,605","57,668","67,542","57,668 to 67,542","10.6","9.8","11.5","9.8 to 11.5","207,429","30,473","27,439","33,508","27,439 to 33,508","14.7","13.2","16.2","13.2 to 16.2","$66,906","$66,011","$67,802","$66,011 to $67,802"
"2008","09","09000","Connecticut","3,390,658","308,479","297,762","319,195","297,762 to 319,195","9.1","8.8","9.4","8.8 to 9.4","799,786","94,346","88,288","100,404","88,288 to 100,404","11.8","11.0","12.6","11.0 to 12.6","587,429","61,410","55,972","66,848","55,972 to 66,848","10.5","9.5","11.4","9.5 to 11.4","208,545","29,626","26,997","32,255","26,997 to 32,255","14.2","12.9","15.5","12.9 to 15.5","$68,294","$67,237","$69,350","$67,237 to $69,350"
"2007","09","09000","Connecticut","3,387,526","269,045","259,952","278,138","259,952 to 278,138","7.9","7.7","8.2","7.7 to 8.2","807,467","87,584","82,146","93,022","82,146 to 93,022","10.8","10.2","11.5","10.2 to 11.5","596,428","58,597","53,726","63,468","53,726 to 63,468","9.8","9.0","10.6","9.0 to 10.6","207,070","25,263","22,752","27,774","22,752 to 27,774","12.2","11.0","13.4","11.0 to 13.4","$65,969","$65,213","$66,725","$65,213 to $66,725"
"2006","09","09000","Connecticut","3,393,426","281,079","272,045","290,112","272,045 to 290,112","8.3","8.0","8.5","8.0 to 8.5","805,557","88,087","82,744","93,429","82,744 to 93,429","10.9","10.3","11.6","10.3 to 11.6","602,207","60,084","55,257","64,911","55,257 to 64,911","10.0","9.2","10.8","9.2 to 10.8","200,065","25,111","22,919","27,303","22,919 to 27,303","12.6","11.5","13.6","11.5 to 13.6","$63,352","$62,601","$64,102","$62,601 to $64,102"
"2015","10","10000","Delaware","920,351","115,655","110,138","121,172","110,138 to 121,172","12.6","12.0","13.2","12.0 to 13.2","201,645","38,446","36,088","40,804","36,088 to 40,804","19.1","17.9","20.3","17.9 to 20.3","145,999","26,199","24,182","28,216","24,182 to 28,216","17.9","16.5","19.3","16.5 to 19.3","54,960","11,404","10,296","12,512","10,296 to 12,512","20.7","18.7","22.7","18.7 to 22.7","$61,327","$60,147","$62,507","$60,147 to $62,507"
"2014","10","10000","Delaware","909,603","118,032","113,079","122,985","113,079 to 122,985","13.0","12.5","13.5","12.5 to 13.5","201,039","38,543","36,281","40,805","36,281 to 40,805","19.2","18.1","20.3","18.1 to 20.3","145,339","25,833","23,961","27,705","23,961 to 27,705","17.8","16.5","19.1","16.5 to 19.1","55,016","11,983","10,803","13,163","10,803 to 13,163","21.8","19.7","23.9","19.7 to 23.9","$59,853","$58,463","$61,243","$58,463 to $61,243"
"2013","10","10000","Delaware","900,322","115,774","109,967","121,581","109,967 to 121,581","12.9","12.3","13.5","12.3 to 13.5","200,641","38,254","35,546","40,962","35,546 to 40,962","19.1","17.8","20.4","17.8 to 20.4","144,204","25,169","22,974","27,364","22,974 to 27,364","17.5","16.0","19.0","16.0 to 19.0","55,305","12,212","10,730","13,694","10,730 to 13,694","22.1","19.4","24.8","19.4 to 24.8","$58,244","$56,730","$59,758","$56,730 to $59,758"
"2012","10","10000","Delaware","890,737","113,316","108,283","118,349","108,283 to 118,349","12.7","12.1","13.3","12.1 to 13.3","201,061","38,462","36,164","40,760","36,164 to 40,760","19.1","18.0","20.2","18.0 to 20.2","145,576","25,169","23,157","27,181","23,157 to 27,181","17.3","15.9","18.7","15.9 to 18.7","54,698","12,571","11,505","13,637","11,505 to 13,637","23.0","21.1","24.9","21.1 to 24.9","$58,326","$57,025","$59,627","$57,025 to $59,627"
"2011","10","10000","Delaware","882,353","111,176","106,446","115,906","106,446 to 115,906","12.6","12.1","13.1","12.1 to 13.1","201,546","37,941","35,584","40,298","35,584 to 40,298","18.8","17.6","20.0","17.6 to 20.0","145,440","24,830","22,751","26,909","22,751 to 26,909","17.1","15.7","18.5","15.7 to 18.5","54,565","11,975","10,791","13,159","10,791 to 13,159","21.9","19.7","24.1","19.7 to 24.1","$58,159","$56,859","$59,459","$56,859 to $59,459"
"2010","10","10000","Delaware","874,333","104,456","99,719","109,193","99,719 to 109,193","11.9","11.4","12.4","11.4 to 12.4","202,100","36,018","33,638","38,398","33,638 to 38,398","17.8","16.6","19.0","16.6 to 19.0","147,285","23,356","21,250","25,462","21,250 to 25,462","15.9","14.5","17.3","14.5 to 17.3","54,137","11,938","10,826","13,050","10,826 to 13,050","22.1","20.0","24.2","20.0 to 24.2","$56,172","$55,018","$57,326","$55,018 to $57,326"
"2009","10","10000","Delaware","860,973","96,409","91,347","101,472","91,347 to 101,472","11.2","10.6","11.8","10.6 to 11.8","203,179","33,851","31,433","36,270","31,433 to 36,270","16.7","15.5","17.9","15.5 to 17.9","143,922","21,382","19,392","23,372","19,392 to 23,372","14.9","13.5","16.2","13.5 to 16.2","58,066","11,631","10,283","12,979","10,283 to 12,979","20.0","17.7","22.4","17.7 to 22.4","$56,985","$55,682","$58,287","$55,682 to $58,287"
"2008","10","10000","Delaware","850,835","87,977","83,882","92,072","83,882 to 92,072","10.3","9.9","10.8","9.9 to 10.8","204,509","29,148","27,045","31,251","27,045 to 31,251","14.3","13.2","15.3","13.2 to 15.3","145,288","18,581","16,716","20,446","16,716 to 20,446","12.8","11.5","14.1","11.5 to 14.1","58,477","9,709","8,697","10,720","8,697 to 10,720","16.6","14.9","18.3","14.9 to 18.3","$58,380","$56,991","$59,770","$56,991 to $59,770"
"2007","10","10000","Delaware","838,480","86,653","82,675","90,631","82,675 to 90,631","10.3","9.9","10.8","9.9 to 10.8","200,718","29,005","26,995","31,014","26,995 to 31,014","14.5","13.4","15.5","13.4 to 15.5","141,907","18,289","16,540","20,038","16,540 to 20,038","12.9","11.7","14.1","11.7 to 14.1","57,849","9,787","8,876","10,698","8,876 to 10,698","16.9","15.3","18.5","15.3 to 18.5","$55,988","$54,724","$57,251","$54,724 to $57,251"
"2006","10","10000","Delaware","828,661","88,749","84,936","92,563","84,936 to 92,563","10.7","10.2","11.2","10.2 to 11.2","199,994","29,622","27,711","31,533","27,711 to 31,533","14.8","13.9","15.8","13.9 to 15.8","142,278","18,942","17,211","20,673","17,211 to 20,673","13.3","12.1","14.5","12.1 to 14.5","56,200","9,638","8,779","10,497","8,779 to 10,497","17.1","15.6","18.7","15.6 to 18.7","$53,714","$52,603","$54,824","$52,603 to $54,824"
"2015","11","11000","District of Columbia","638,024","113,185","107,315","119,055","107,315 to 119,055","17.7","16.8","18.6","16.8 to 18.6","116,615","32,947","29,539","36,355","29,539 to 36,355","28.3","25.4","31.2","25.4 to 31.2","73,577","21,541","18,455","24,627","18,455 to 24,627","29.3","25.1","33.5","25.1 to 33.5","42,469","10,892","9,614","12,170","9,614 to 12,170","25.6","22.6","28.6","22.6 to 28.6","$73,115","$71,082","$75,148","$71,082 to $75,148"
